lambda n k
5.04e-07 1.5964745764226675 0.021146793428598726
5.05e-07 1.6024776395458324 0.020533459618269356
5.06e-07 1.6088063167321764 0.01993897897482176
5.07e-07 1.6154567357245098 0.01936375959865178
5.08e-07 1.6224218850224021 0.018808288477741356
5.09e-07 1.6296914391401993 0.0182731409088667
5.1e-07 1.637251622572411 0.01775899059532566
5.11e-07 1.6450851184904358 0.017266620418279914
5.12e-07 1.6531710277061098 0.01679693386871195
5.13e-07 1.6614848827661644 0.016350967115493796
5.14e-07 1.669998721191716 0.015929901672149572
5.15e-07 1.6786812208584805 0.015535077610613807
5.16e-07 1.6874978993431444 0.015168007254714405
5.17e-07 1.6964113777615264 0.014830389269368334
5.18e-07 1.7053817082231328 0.014524123043734335
5.19e-07 1.7143667625576469 0.014251323248038355
5.2e-07 1.723322678469419 0.014014334424738912
5.21e-07 1.7322043577869475 0.013815745455447616
5.22e-07 1.7409660100384623 0.013658403725927967
5.23e-07 1.7495617332456197 0.013545428792968198
5.24e-07 1.7579461226275874 0.01348022533940394
5.25e-07 1.7660748968878313 0.013466495187521587
5.26e-07 1.7739055309522094 0.013508248126986628
5.27e-07 1.7813978834708144 0.013609811301796521
5.28e-07 1.7885148071120571 0.013775836892021347
5.29e-07 1.7952227296829104 0.014011307820699238
5.3e-07 1.8014921944126054 0.014321541214573621
5.31e-07 1.8072983483380407 0.01471218934969433
5.32e-07 1.8126213686180663 0.015189237819456865
5.33e-07 1.8174468177618688 0.015759000673506277
5.34e-07 1.8217659201564227 0.016428112291033078
5.35e-07 1.825575753884019 0.017203515771137264
5.36e-07 1.8288793535910013 0.018092447645772936
5.37e-07 1.8316857220553684 0.019102418746791194
5.38e-07 1.8340097500522263 0.02024119108709814
5.39e-07 1.8358720460784672 0.021516750646122882
5.4e-07 1.8372986794173378 0.022937275980719526
5.41e-07 1.838320841847095 0.024511102613296813
5.42e-07 1.838974434976234 0.026246683178339263
5.43e-07 1.8392995916762798 0.028152543335535806
5.44e-07 1.839340141343489 0.030237233481538624
5.45e-07 1.8391430297223232 0.03250927631216957
5.46e-07 1.8387577047437929 0.03497711030214797
5.47e-07 1.838235480257425 0.03764902917992065
5.48e-07 1.8376288896625177 0.04053311748111324
5.49e-07 1.8369910412775958 0.04363718226612364
5.5e-07 1.8363749868402923 0.04696868108658298
5.51e-07 1.8358331138250128 0.05053464628348853
5.52e-07 1.8354165713315056 0.05434160569897771
5.53e-07 1.8351747381683057 0.05839549988668255
5.54e-07 1.8351547404700188 0.06270159591555105
5.55e-07 1.8354010247883885 0.06726439788246166
5.56e-07 1.835954991127401 0.07208755428361203
5.57e-07 1.8368546888956037 0.07717376244728404
5.58e-07 1.8381345772660649 0.0825246703047308
5.59e-07 1.8398253500050354 0.0881407758747213
5.6e-07 1.8419538234894344 0.09402132496313337
5.61e-07 1.8445428854110937 0.10016420773333962
5.62e-07 1.8476115005870553 0.10656585498616623
5.63e-07 1.8511747693789602 0.11322113519858634
5.64e-07 1.8552440334834819 0.1201232536049779
5.65e-07 1.8598270232963618 0.12726365485877802
5.66e-07 1.8649280406757547 0.13463193107876617
5.67e-07 1.8705481707314637 0.14221573735408843
5.68e-07 1.8766855162358151 0.1500007170446965
5.69e-07 1.8833354483756062 0.1579704394566491
5.7e-07 1.8904908678257857 0.1661063526809071
5.71e-07 1.898142470504757 0.17438775454515348
5.72e-07 1.9062790128472615 0.18279178472576063
5.73e-07 1.9148875719817235 0.1912934410865963
5.74e-07 1.9239537968027565 0.19986562323924642
5.75e-07 1.9334621465648776 0.20847920614355836
5.76e-07 1.9433961142703895 0.2171031462789048
5.77e-07 1.9537384327645608 0.2257046225092687
5.78e-07 1.9644712620687006 0.23424921323721015
5.79e-07 1.9755763570628124 0.24270111079561296
5.8e-07 1.9870352151632342 0.25102337326941465
5.81e-07 1.9988292041187237 0.25917821308510014
5.82e-07 2.010939670464962 0.26712732077157725
5.83e-07 2.0233480295292643 0.27483222130511265
5.84e-07 2.0360358381632233 0.2822546594307195
5.85e-07 2.0489848516021243 0.2893570093339164
5.86e-07 2.0621770660089433 0.2961027030540539
5.87e-07 2.0755947483615462 0.3024566711189414
5.88e-07 2.0892204553896923 0.30838578807609274
5.89e-07 2.103037043269345 0.3138593149331025
5.9e-07 2.1170276697422654 0.3188493300303983
5.91e-07 2.1311757902552926 0.32333113958160514
5.92e-07 2.1454651496129986 0.3272836590522601
5.93e-07 2.159879770515669 0.33068975672208617
5.94e-07 2.174403940218035 0.33353655119726533
5.95e-07 2.1890221963982324 0.3358156553064706
5.96e-07 2.2037193131760526 0.33752335971843506
5.97e-07 2.218480288068903 0.3386607507413378
5.98e-07 2.2332903305266267 0.33923375807873235
5.99e-07 2.2481348525452858 0.339253129788896
6e-07 2.2629994617275315 0.33873433328362235
6.01e-07 2.2778699570348455 0.33769738286273016
6.02e-07 2.2927323273659406 0.33616659596258397
6.03e-07 2.30757275299651 0.3341702819497169
6.04e-07 2.3223776098286066 0.331740368863506
6.05e-07 2.3371334763230545 0.3289119749562659
6.06e-07 2.3518271429250914 0.32572293315065487
6.07e-07 2.366445623741302 0.32221327759423873
6.08e-07 2.380976170184081 0.3184247023079317
6.09e-07 2.395406286267607 0.31440000247569294
6.1e-07 2.409723745215602 0.31018250919328516
6.11e-07 2.4239166070252716 0.3058155284796336
6.12e-07 2.4379732366227818 0.30134179506046815
6.13e-07 2.451882322242681 0.29680295087475433
6.14e-07 2.465632893666061 0.29223905745264855
6.15e-07 2.479214339959226 0.28768815029944983
6.16e-07 2.4926164263657187 0.2831858422294188
6.17e-07 2.5058293100190645 0.2787649812670696
6.18e-07 2.5188435541612164 0.27445536731517606
6.19e-07 2.531650140571915 0.2702835303230066
6.2e-07 2.5442404799368417 0.2662725712194685
6.21e-07 2.5566064199070624 0.2624420654460921
6.22e-07 2.5687402506288715 0.25880802757288013
6.23e-07 2.5806347075512894 0.25538293424005565
6.24e-07 2.5922829713481987 0.2521758015691913
6.25e-07 2.6036786648231045 0.24919231225034055
6.26e-07 2.614815846696752 0.24643498675326042
6.27e-07 2.625689002211087 0.24390339253955762
6.28e-07 2.636293030517168 0.24159438477099504
6.29e-07 2.6466232288495792 0.2395023718135701
6.3e-07 2.6566752735251935 0.2376195988181109
6.31e-07 2.666445197839952 0.23593644280212264
6.32e-07 2.675929366973103 0.23444171294671864
6.33e-07 2.685124450044056 0.23312295023609542
6.34e-07 2.694027389502253 0.2319667210826716
6.35e-07 2.7026353680650317 0.23095890017529244
6.36e-07 2.710945773452029 0.2300849384373445
6.37e-07 2.7189561611968176 0.22933011266353387
6.38e-07 2.7266642158470726 0.22867975409718896
6.39e-07 2.7340677108930502 0.22811945389500968
6.4e-07 2.7411644677902935 0.22763524408634483
6.41e-07 2.7479523144659526 0.22721375325518844
6.42e-07 2.7544290437184604 0.2268423367438192
6.43e-07 2.760592371937332 0.22650918168889989
6.44e-07 2.766439898583149 0.22620338764818876
6.45e-07 2.771969066877155 0.2259150239556854
6.46e-07 2.7771771261549714 0.22563516525423566
6.47e-07 2.782061096339607 0.22535590689861565
6.48e-07 2.786617734984937 0.22507036210185016
6.49e-07 2.7908435073320406 0.22477264281730916
6.5e-07 2.7947345598071487 0.2244578264142995
6.51e-07 2.7982866973713616 0.2241219102214566
6.52e-07 2.801495365108824 0.22376175598665382
6.53e-07 2.8043556344117375 0.22337502624095193
6.54e-07 2.8068621940875422 0.2229601144637546
6.55e-07 2.809009346676094 0.22251607083301586
6.56e-07 2.810791010222825 0.22204252521382983
6.57e-07 2.812200725708119 0.22153960889628477
6.58e-07 2.8132316702837943 0.22100787644376785
6.59e-07 2.813876676415012 0.22044822886004395
6.6e-07 2.8141282569707524 0.2198618391308751
6.61e-07 2.8139786362485704 0.2192500810465851
6.62e-07 2.813419786860348 0.2186144620681349
6.63e-07 2.8124434723457514 0.2179565608628033
6.64e-07 2.8110412953196917 0.21727797000783688
6.65e-07 2.8092047509000175 0.2165802442424445
6.66e-07 2.806925285102486 0.21586485454092047
6.67e-07 2.8041943578325417 0.21513314818286136
6.68e-07 2.801003510048229 0.21438631491052348
6.69e-07 2.79734443461633 0.21362535918828715
6.7e-07 2.7932090503351685 0.2128510785146958
6.71e-07 2.788589578553217 0.21206404768321918
6.72e-07 2.783478621773029 0.2112646088431919
6.73e-07 2.7778692435959056 0.21045286717659048
6.74e-07 2.771755049334346 0.20962869197857018
6.75e-07 2.765130266597317 0.2087917229089481
6.76e-07 2.7579898251379458 0.20794138116687827
6.77e-07 2.7503294352448147 0.20707688533040114
6.78e-07 2.7421456639566295 0.2061972715947509
6.79e-07 2.733436008386019 0.20530141813645486
6.8e-07 2.7241989654513867 0.2043880733223501
6.81e-07 2.714434097336275 0.20345588747152288
6.82e-07 2.704142092023253 0.20250344786157015
6.83e-07 2.693324818283909 0.20152931664620907
6.84e-07 2.6819853745476183 0.20053207131690304
6.85e-07 2.6701281311191205 0.19951034729483152
6.86e-07 2.657758765268054 0.19846288217957736
6.87e-07 2.6448842887719217 0.19738856110627137
6.88e-07 2.6315130675569334 0.19628646257330415
6.89e-07 2.6176548331481246 0.19515590399874824
6.9e-07 2.603320685710329 0.19399648614716458
6.91e-07 2.588523088534331 0.19280813544267986
6.92e-07 2.5732758538969382 0.19159114305381336
6.93e-07 2.5575941202991683 0.19034619950677145
6.94e-07 2.541494321162178 0.18907442346467732
6.95e-07 2.5249941451354245 0.18777738320978865
6.96e-07 2.5081124882448576 0.18645710929476764
6.97e-07 2.49086939817996 0.1851160967989625
6.98e-07 2.4732860110864388 0.18375729564830431
6.99e-07 2.4553844812956327 0.18238408754439325
7e-07 2.437187904481481 0.18100024821022467
7.01e-07 2.4187202347907024 0.17960989390546483
7.02e-07 2.4000061965410198 0.1782174114991119
7.03e-07 2.3810711911253994 0.17682737181393496
7.04e-07 2.3619411997969797 0.17544442647285396
7.05e-07 2.3426426830392324 0.17407318907469863
7.06e-07 2.3232024772488264 0.1727181021920246
7.07e-07 2.3036476894743347 0.17138329239729336
7.08e-07 2.2840055909624466 0.17007241626022
7.09e-07 2.2643035102645737 0.16878850098751172
7.1e-07 2.2445687266509 0.16753378406114414
7.11e-07 2.2248283645661355 0.16630955683421572
7.12e-07 2.205109289841753 0.16511601752443172
7.13e-07 2.185438008353702 0.16395213936532904
7.14e-07 2.1658405677828263 0.16281555979856294
7.15e-07 2.1463424630979944 0.16170249648667082
7.16e-07 2.1269685463397336 0.16060769557253687
7.17e-07 2.107742941235532 0.15952441699746805
7.18e-07 2.0886889631275576 0.15844446081470054
7.19e-07 2.0698290446398566 0.1573582373131408
7.2e-07 2.0511846674559306 0.15625488242515584
7.21e-07 2.0327763005194597 0.15512241837411578
7.22e-07 2.014623344911596 0.15394795787683507
7.23e-07 1.9967440855983034 0.1527179485185774
7.24e-07 1.9791556501812855 0.15141845223746125
7.25e-07 1.9618739747268168 0.15003545326904213
7.26e-07 1.9449137766887394 0.14855518648915775
7.27e-07 1.9282885348856968 0.1469644769285383
7.28e-07 1.9120104764387351 0.14525108038268936
7.29e-07 1.896090570524283 0.14340401455921425
7.3e-07 1.8805385287495566 0.14141387013012027
7.31e-07 1.8653628119130683 0.13927309140796082
7.32e-07 1.8505706428723734 0.13697621714049324
7.33e-07 1.8361680252048196 0.13452007309619463
7.34e-07 1.8221597673149765 0.13190390964915594
7.35e-07 1.8085495116148045 0.12912947940447872
7.36e-07 1.7953397683795655 0.12620105195650977
7.37e-07 1.782531953863955 0.12312536505252958
7.38e-07 1.770126432249003 0.11991151364737516
7.39e-07 1.7581225609807873 0.11657078048168323
7.4e-07 1.7465187390568773 0.113116413803312
7.41e-07 1.7353124578154768 0.10956335959200665
7.42e-07 1.724500353785266 0.1059279570686796
7.43e-07 1.7140782631607225 0.1022276073168256
7.44e-07 1.7040412774779663 0.09848042547818177
7.45e-07 1.6943838000796199 0.09470488719235462
7.46e-07 1.6850996029735128 0.09091947973654438
7.47e-07 1.6761818837089368 0.08714236771260575
7.48e-07 1.6676233219152772 0.08339108216837296
7.49e-07 1.6594161351708259 0.07968224078717043
7.5e-07 1.6515521338941273 0.07603130530347754
7.51e-07 1.6440227749759253 0.07245238068032601
7.52e-07 1.6368192138964095 0.06895805889403485
7.53e-07 1.6299323550996183 0.06555930849125469
7.54e-07 1.6233529004242853 0.06226540948310261
7.55e-07 1.6170713954177958 0.05908393168341598
7.56e-07 1.6110782733870213 0.056020753333202715
7.57e-07 1.6053638970663187 0.0530801158182857
7.58e-07 1.5999185978087698 0.05026470950492051
7.59e-07 1.594732712231514 0.04757578519781797
7.6e-07 1.5897966162696824 0.045013285462403164
7.61e-07 1.5851007566157953 0.04257599003256417
7.62e-07 1.5806356795424077 0.040261669721257165
7.63e-07 1.5763920571252017 0.03806724363154752
7.64e-07 1.5723607109015287 0.03598893499259869
7.65e-07 1.5685326330155709 0.034022421579069394
7.66e-07 1.564899004915765 0.03216297737361303
7.67e-07 1.5614512136829128 0.0304056028629462
7.68e-07 1.5581808660785255 0.02874514208415678
7.69e-07 1.5550798004123763 0.027176385230310844
7.7e-07 1.5521400963360865 0.025694156259406364
7.71e-07 1.54935408267585 0.02429338551076261
7.72e-07 1.5467143434221897 0.022969167806499744
7.73e-07 1.54421372199803 0.02171680689702029
7.74e-07 1.5418453239284302 0.020531847397609698
7.75e-07 1.5396025180361714 0.019410095562006496
7.76e-07 1.5374789362870904 0.018347630355064416
7.77e-07 1.5354684724077587 0.0173408063299635
7.78e-07 1.533565279395858 0.016386249796955885
7.79e-07 1.5317637660405803 0.015480849702267449
7.8e-07 1.5300585925666015 0.014621744529483028
7.81e-07 1.5284446655108508 0.013806306402943643
7.82e-07 1.5269171319363892 0.013032123423804628
7.83e-07 1.5254713730824627 0.01229698111355456
7.84e-07 1.5241029975441747 0.01159884368458807
7.85e-07 1.5228078340693747 0.010935835708904178
7.86e-07 1.521581924054376 0.010306224618668714
7.87e-07 1.5204215138140138 0.009708404349298433
7.88e-07 1.519323046695466 0.009140880328680998
7.89e-07 1.518283155099183 0.008602255925832096
7.9e-07 1.5172986524643228 0.008091220398519835
7.91e-07 1.5163665252702547 0.007606538321289229
7.92e-07 1.515483925100062 0.007147040431547702
7.93e-07 1.5146481608065456 0.006711615800270586
7.94e-07 1.5138566908160729 0.0062992052136420455
7.95e-07 1.5131071156006868 0.005908795640718214
7.96e-07 1.5123971703442873 0.005539415658203483
7.97e-07 1.5117247178243804 0.005190131705017437
7.98e-07 1.5110877415268555 0.004860045045024011
7.99e-07 1.510484339007574 0.004548289324821751
8e-07 1.509912715511134 0.004254028623789318
